Sales Person,Country,Product,Date,Amount,boxes_shipped
Curtice Advani,USA,Raspberry Choco,15-Mar-22,2996.0,139
Marney O'Breen,Canada,Milk Bars,08-Feb-22,2436.0,309
Brien Boise,India,Caramel Stuffed Bars,25-Feb-22,1540.0,100
Gunar Cockshoot,USA,Eclairs,03-May-22,6916.0,42
Roddy Speechley,USA,Fruit & Nut Bars,14-Jun-22,5509.0,24
Gunar Cockshoot,India,50% Dark Bites,09-Aug-22,12992.0,83
Wilone O'Kielt,New Zealand,Manuka Honey Choco,11-Jul-22,3724.0,234
Kaine Padly,UK,Manuka Honey Choco,14-Jan-22,7133.0,118
Van Tuxwell,Canada,Manuka Honey Choco,24-Feb-22,8617.0,46
Wilone O'Kielt,New Zealand,Almond Choco,15-Mar-22,9198.0,144
Oby Sorrel,New Zealand,Baker's Choco Chips,25-Apr-22,11823.0,47
Dennison Crosswaite,Australia,Organic Choco Syrup,10-May-22,5775.0,41
Marney O'Breen,Australia,Spicy Special Slims,23-Jun-22,13125.0,275
Beverie Moffet,Canada,Smooth Sliky Salty,28-Feb-22,14287.0,370
Brien Boise,USA,Organic Choco Syrup,25-May-22,16233.0,138
Roddy Speechley,New Zealand,Baker's Choco Chips,22-Feb-22,5313.0,215
Van Tuxwell,UK,85% Dark Bars,11-Jul-22,3577.0,134
Marney O'Breen,Canada,Spicy Special Slims,03-Jan-22,3528.0,336
Rafaelita Blaksland,New Zealand,70% Dark Bites,24-Aug-22,679.0,280
Beverie Moffet,USA,50% Dark Bites,28-Jul-22,2450.0,352
Brien Boise,USA,Mint Chip Choco,25-May-22,10577.0,150
Karlen McCaffrey,New Zealand,Eclairs,06-May-22,2597.0,177
Barr Faughny,India,Drinking Coco,28-Jan-22,2219.0,142
Marney O'Breen,UK,Orange Choco,06-Jun-22,11319.0,12
Brien Boise,New Zealand,Baker's Choco Chips,12-Jul-22,5978.0,24
Ches Bonnell,Canada,Spicy Special Slims,05-Aug-22,5327.0,183
Brien Boise,USA,Orange Choco,28-Jan-22,6020.0,147
Kaine Padly,India,Spicy Special Slims,31-Aug-22,5614.0,137
Mallorie Waber,USA,50% Dark Bites,19-Apr-22,1736.0,13
Mallorie Waber,UK,Mint Chip Choco,29-Jun-22,6384.0,2
Beverie Moffet,India,Choco Coated Almonds,24-Feb-22,3577.0,261
Madelene Upcott,UK,Smooth Sliky Salty,04-Mar-22,14539.0,84
Gigi Bohling,India,Eclairs,21-Jun-22,3493.0,68
Rafaelita Blaksland,Australia,Organic Choco Syrup,26-Jan-22,994.0,105
Oby Sorrel,New Zealand,White Choc,10-Jun-22,4361.0,40
Andria Kimpton,UK,Drinking Coco,23-May-22,1554.0,65
Kelci Walkden,India,Milk Bars,15-Apr-22,966.0,107
Karlen McCaffrey,New Zealand,Caramel Stuffed Bars,31-Jan-22,5334.0,227
Andria Kimpton,New Zealand,Organic Choco Syrup,04-Mar-22,4935.0,39
Barr Faughny,New Zealand,After Nines,19-Apr-22,10024.0,84
Beverie Moffet,UK,Almond Choco,16-May-22,2506.0,100
Oby Sorrel,Australia,Raspberry Choco,17-Feb-22,1043.0,120
Dennison Crosswaite,USA,Raspberry Choco,18-Jan-22,6524.0,257
Roddy Speechley,Canada,Orange Choco,09-Feb-22,8148.0,85
Mallorie Waber,Canada,Orange Choco,23-Mar-22,3577.0,178
Madelene Upcott,New Zealand,Caramel Stuffed Bars,01-Feb-22,3374.0,151
Mallorie Waber,India,Drinking Coco,07-Mar-22,3948.0,142
Ches Bonnell,UK,White Choc,03-Jan-22,3269.0,226
Ches Bonnell,USA,White Choc,11-Feb-22,5271.0,341
Dennison Crosswaite,New Zealand,Orange Choco,16-Mar-22,4571.0,140
Dotty Strutley,India,White Choc,15-Aug-22,12327.0,330
Gigi Bohling,India,Manuka Honey Choco,12-May-22,4935.0,73
Van Tuxwell,India,Spicy Special Slims,11-Apr-22,6167.0,4
Jan Morforth,New Zealand,Mint Chip Choco,30-Jun-22,18340.0,285
Dotty Strutley,New Zealand,White Choc,15-Jun-22,7014.0,60
Rafaelita Blaksland,Canada,Caramel Stuffed Bars,01-Aug-22,7119.0,101
Kaine Padly,USA,Milk Bars,15-Jun-22,15491.0,58
Brien Boise,India,After Nines,16-Jun-22,5747.0,45
Oby Sorrel,New Zealand,Raspberry Choco,13-May-22,4550.0,281
Dennison Crosswaite,USA,Drinking Coco,10-May-22,2191.0,138
Oby Sorrel,India,Eclairs,25-Aug-22,5663.0,322
Ches Bonnell,New Zealand,Organic Choco Syrup,15-Jul-22,7623.0,85
Gigi Bohling,UK,Baker's Choco Chips,16-May-22,9023.0,409
Jan Morforth,Australia,50% Dark Bites,14-Jun-22,3402.0,182
Beverie Moffet,Australia,Smooth Sliky Salty,25-Jan-22,10507.0,467
Ches Bonnell,USA,Organic Choco Syrup,28-Jul-22,7721.0,14
Brien Boise,Canada,Mint Chip Choco,28-Jan-22,5033.0,178
Kaine Padly,UK,Orange Choco,29-Jun-22,1960.0,191
Karlen McCaffrey,Australia,70% Dark Bites,24-Jun-22,238.0,317
Gunar Cockshoot,Canada,Mint Chip Choco,01-Jul-22,7756.0,410
Roddy Speechley,USA,Peanut Butter Cubes,25-Feb-22,1736.0,137
Curtice Advani,Canada,Smooth Sliky Salty,01-Aug-22,2660.0,12
Oby Sorrel,Australia,Milk Bars,21-Jun-22,7672.0,254
Camilla Castle,New Zealand,Spicy Special Slims,25-Jan-22,11564.0,24
Gigi Bohling,UK,Milk Bars,17-May-22,1365.0,232
Andria Kimpton,Australia,85% Dark Bars,23-Aug-22,4186.0,233
Camilla Castle,Australia,Smooth Sliky Salty,03-Mar-22,7406.0,118
Roddy Speechley,India,Caramel Stuffed Bars,30-May-22,8911.0,543
Karlen McCaffrey,USA,Drinking Coco,29-Jun-22,112.0,223
Andria Kimpton,Canada,Organic Choco Syrup,04-Jan-22,8204.0,204
Jehu Rudeforth,Australia,Drinking Coco,14-Jan-22,2611.0,65
Karlen McCaffrey,USA,Mint Chip Choco,15-Feb-22,15652.0,53
Curtice Advani,New Zealand,Spicy Special Slims,10-Jan-22,4074.0,469
Madelene Upcott,USA,White Choc,04-May-22,12250.0,213
Andria Kimpton,USA,Spicy Special Slims,23-May-22,2366.0,5
Barr Faughny,New Zealand,Fruit & Nut Bars,26-Apr-22,1687.0,147
Oby Sorrel,Canada,Organic Choco Syrup,05-Jul-22,1232.0,74
Madelene Upcott,UK,Organic Choco Syrup,21-Jul-22,6965.0,163
Dotty Strutley,USA,Mint Chip Choco,21-Feb-22,5292.0,248
Kelci Walkden,USA,Orange Choco,03-Feb-22,1379.0,138
Gigi Bohling,Australia,Caramel Stuffed Bars,08-Jul-22,8001.0,151
Mallorie Waber,India,50% Dark Bites,31-May-22,588.0,139
Van Tuxwell,New Zealand,Mint Chip Choco,27-Jun-22,4046.0,103
Van Tuxwell,India,50% Dark Bites,13-May-22,5103.0,129
Van Tuxwell,USA,Manuka Honey Choco,31-May-22,2317.0,102
Wilone O'Kielt,USA,Orange Choco,28-Feb-22,7042.0,37
Barr Faughny,New Zealand,Eclairs,28-Mar-22,6713.0,31
Gigi Bohling,USA,After Nines,14-Jan-22,1848.0,227
Barr Faughny,New Zealand,Mint Chip Choco,21-Feb-22,6440.0,145
Dennison Crosswaite,Canada,85% Dark Bars,01-Aug-22,10885.0,90
Beverie Moffet,New Zealand,Smooth Sliky Salty,19-May-22,2387.0,59
Husein Augar,USA,White Choc,13-Jul-22,2030.0,60
Andria Kimpton,Australia,Peanut Butter Cubes,20-Apr-22,6678.0,148
Dennison Crosswaite,India,85% Dark Bars,30-Jun-22,4515.0,22
Curtice Advani,UK,50% Dark Bites,08-Mar-22,3374.0,142
Gunar Cockshoot,USA,Fruit & Nut Bars,09-Mar-22,5852.0,93
Oby Sorrel,Canada,Raspberry Choco,16-Jun-22,1750.0,208
Gigi Bohling,UK,Drinking Coco,30-Jun-22,5782.0,42
Kelci Walkden,India,Mint Chip Choco,28-Jul-22,2870.0,120
Karlen McCaffrey,Canada,Peanut Butter Cubes,12-Aug-22,3094.0,159
Barr Faughny,UK,Mint Chip Choco,07-Jul-22,3724.0,316
Barr Faughny,USA,85% Dark Bars,25-Aug-22,12761.0,47
Husein Augar,Canada,Eclairs,17-Jan-22,3696.0,233
Jan Morforth,Australia,70% Dark Bites,04-Mar-22,5222.0,384
Marney O'Breen,New Zealand,Fruit & Nut Bars,25-Aug-22,8939.0,4
Ches Bonnell,UK,Peanut Butter Cubes,15-Apr-22,2156.0,260
Kaine Padly,USA,Organic Choco Syrup,11-Mar-22,2380.0,22
Camilla Castle,USA,Raspberry Choco,20-May-22,3339.0,18
Brien Boise,New Zealand,Manuka Honey Choco,14-Jun-22,14980.0,42
Jehu Rudeforth,New Zealand,After Nines,14-Apr-22,1512.0,73
Jehu Rudeforth,USA,Smooth Sliky Salty,07-Jul-22,6657.0,154
Madelene Upcott,India,Mint Chip Choco,24-Aug-22,3836.0,71
Jehu Rudeforth,India,Eclairs,24-Feb-22,8771.0,127
Karlen McCaffrey,Canada,Raspberry Choco,09-May-22,651.0,224
Kaine Padly,Australia,70% Dark Bites,08-Feb-22,6706.0,223
Roddy Speechley,UK,70% Dark Bites,24-Mar-22,1421.0,284
Rafaelita Blaksland,USA,Drinking Coco,20-Jun-22,8526.0,73
Mallorie Waber,Canada,Manuka Honey Choco,07-Mar-22,1435.0,112
Kaine Padly,Australia,Fruit & Nut Bars,20-Jun-22,7434.0,85
Oby Sorrel,New Zealand,Organic Choco Syrup,17-Feb-22,15316.0,270
Madelene Upcott,UK,99% Dark & Pure,26-Jan-22,10479.0,45
Madelene Upcott,Australia,Mint Chip Choco,02-May-22,2751.0,153
Curtice Advani,Canada,99% Dark & Pure,07-Jul-22,12586.0,7
Rafaelita Blaksland,Australia,Baker's Choco Chips,22-Aug-22,2786.0,51
Karlen McCaffrey,Australia,After Nines,11-Aug-22,2303.0,67
Marney O'Breen,UK,99% Dark & Pure,13-Jan-22,8113.0,194
Gunar Cockshoot,Australia,50% Dark Bites,02-Mar-22,12271.0,116
Marney O'Breen,Australia,Choco Coated Almonds,27-Jul-22,11298.0,41
Kelci Walkden,New Zealand,Drinking Coco,10-Mar-22,15855.0,111
Beverie Moffet,USA,85% Dark Bars,23-Aug-22,12404.0,334
Roddy Speechley,USA,Eclairs,25-Apr-22,3990.0,155
Dennison Crosswaite,UK,Milk Bars,07-Mar-22,10808.0,407
Wilone O'Kielt,UK,Organic Choco Syrup,12-Jul-22,4858.0,52
Madelene Upcott,USA,Orange Choco,16-May-22,7742.0,138
Gunar Cockshoot,India,Smooth Sliky Salty,02-Mar-22,3752.0,70
Marney O'Breen,New Zealand,85% Dark Bars,30-May-22,1218.0,149
Marney O'Breen,UK,Manuka Honey Choco,10-Jun-22,10983.0,179
Brien Boise,USA,99% Dark & Pure,25-Jul-22,6769.0,353
Beverie Moffet,New Zealand,Mint Chip Choco,09-Jun-22,4361.0,97
Dennison Crosswaite,USA,Milk Bars,12-May-22,777.0,60
Gunar Cockshoot,USA,Drinking Coco,09-May-22,3843.0,5
Brien Boise,Canada,Manuka Honey Choco,09-Aug-22,6930.0,182
Van Tuxwell,India,Choco Coated Almonds,13-Apr-22,5733.0,114
Andria Kimpton,USA,Caramel Stuffed Bars,02-May-22,8393.0,46
Dotty Strutley,USA,99% Dark & Pure,09-Aug-22,3822.0,320
Camilla Castle,Australia,Raspberry Choco,23-Aug-22,6342.0,178
Gunar Cockshoot,India,Spicy Special Slims,13-May-22,6510.0,170
Karlen McCaffrey,USA,Manuka Honey Choco,01-Feb-22,10171.0,67
Camilla Castle,USA,50% Dark Bites,23-Jun-22,5908.0,301
Madelene Upcott,UK,Choco Coated Almonds,24-May-22,10164.0,134
Jan Morforth,Canada,Mint Chip Choco,01-Apr-22,1064.0,211
Camilla Castle,Canada,70% Dark Bites,27-Jul-22,9716.0,151
Ches Bonnell,India,Peanut Butter Cubes,27-Jan-22,22050.0,208
Jan Morforth,India,Choco Coated Almonds,12-Aug-22,2541.0,134
Gigi Bohling,Canada,Almond Choco,01-Feb-22,9989.0,49
Rafaelita Blaksland,India,After Nines,02-Mar-22,4739.0,204
Kelci Walkden,Australia,99% Dark & Pure,30-Jun-22,3185.0,34
Dotty Strutley,Australia,Spicy Special Slims,17-Jan-22,8225.0,91
Brien Boise,USA,Milk Bars,07-Jul-22,14301.0,130
Mallorie Waber,New Zealand,Mint Chip Choco,31-Jan-22,1316.0,107
Beverie Moffet,UK,99% Dark & Pure,10-Aug-22,3486.0,121
Beverie Moffet,USA,Peanut Butter Cubes,18-Aug-22,13930.0,339
Brien Boise,New Zealand,White Choc,15-Jun-22,5509.0,321
Marney O'Breen,USA,Baker's Choco Chips,26-Jan-22,8470.0,9
Kelci Walkden,USA,Spicy Special Slims,29-Apr-22,77.0,69
Mallorie Waber,Canada,White Choc,03-Mar-22,3381.0,72
Kaine Padly,Australia,Almond Choco,22-Feb-22,4102.0,392
Oby Sorrel,USA,Smooth Sliky Salty,04-Mar-22,3577.0,158
Dennison Crosswaite,India,Smooth Sliky Salty,07-Jul-22,2975.0,9
Camilla Castle,New Zealand,Caramel Stuffed Bars,17-Jun-22,4137.0,347
Jan Morforth,Canada,Caramel Stuffed Bars,02-Aug-22,9541.0,114
Oby Sorrel,USA,Baker's Choco Chips,12-Aug-22,8001.0,120
Madelene Upcott,New Zealand,Peanut Butter Cubes,28-Jan-22,5152.0,333
Kelci Walkden,Australia,Orange Choco,29-Apr-22,11116.0,432
Marney O'Breen,Australia,Manuka Honey Choco,05-Apr-22,13076.0,236
Kaine Padly,Canada,Manuka Honey Choco,18-Jan-22,10213.0,135
Jehu Rudeforth,UK,Baker's Choco Chips,16-May-22,2485.0,97
Kelci Walkden,Australia,White Choc,24-Aug-22,8715.0,168
Curtice Advani,India,85% Dark Bars,18-Jan-22,273.0,402
Kaine Padly,USA,Eclairs,22-Aug-22,7623.0,10
Gunar Cockshoot,UK,99% Dark & Pure,07-Mar-22,7.0,84
Beverie Moffet,UK,Choco Coated Almonds,04-Mar-22,3010.0,69
Dotty Strutley,Canada,Manuka Honey Choco,22-Apr-22,11550.0,111
Kaine Padly,Australia,Milk Bars,09-Jun-22,4046.0,89
Jan Morforth,Canada,Fruit & Nut Bars,25-Jul-22,8904.0,199
Jan Morforth,India,Smooth Sliky Salty,03-Aug-22,11298.0,89
Rafaelita Blaksland,Australia,Manuka Honey Choco,03-Aug-22,4396.0,131
Jehu Rudeforth,UK,Milk Bars,03-May-22,12068.0,227
Husein Augar,Canada,After Nines,19-Jan-22,9772.0,301
Roddy Speechley,USA,50% Dark Bites,11-Feb-22,10458.0,316
Van Tuxwell,India,Almond Choco,14-Jun-22,6426.0,390
Kelci Walkden,USA,50% Dark Bites,23-Mar-22,6188.0,223
Madelene Upcott,Canada,85% Dark Bars,17-Feb-22,7504.0,101
Dennison Crosswaite,Canada,Smooth Sliky Salty,17-Mar-22,1750.0,479
Mallorie Waber,Australia,Spicy Special Slims,29-Jun-22,5439.0,287
Ches Bonnell,Canada,Choco Coated Almonds,24-Aug-22,15547.0,269
Gigi Bohling,Canada,Spicy Special Slims,04-Jul-22,11956.0,277
Roddy Speechley,New Zealand,Almond Choco,28-Mar-22,2723.0,67
Curtice Advani,India,Smooth Sliky Salty,19-Apr-22,19327.0,135
Ches Bonnell,New Zealand,Mint Chip Choco,18-Jan-22,9058.0,229
Van Tuxwell,New Zealand,Fruit & Nut Bars,17-Jan-22,2996.0,88
Andria Kimpton,New Zealand,Mint Chip Choco,15-Feb-22,8848.0,211
Andria Kimpton,UK,Milk Bars,11-Feb-22,14336.0,293
Camilla Castle,USA,Manuka Honey Choco,21-Mar-22,16401.0,179
Gunar Cockshoot,New Zealand,Almond Choco,05-Jan-22,5173.0,129
Brien Boise,India,Raspberry Choco,30-May-22,6328.0,164
Jehu Rudeforth,USA,99% Dark & Pure,04-Jan-22,2534.0,219
Beverie Moffet,Australia,Fruit & Nut Bars,22-Apr-22,1435.0,258
Gigi Bohling,Canada,Milk Bars,10-Feb-22,3052.0,116
Dotty Strutley,India,Spicy Special Slims,12-Aug-22,910.0,204
Gunar Cockshoot,USA,Organic Choco Syrup,10-Aug-22,2331.0,321
Kelci Walkden,Australia,Raspberry Choco,07-Jun-22,679.0,56
Jehu Rudeforth,India,Baker's Choco Chips,06-Jun-22,2086.0,74
Karlen McCaffrey,New Zealand,Baker's Choco Chips,05-Apr-22,5012.0,189
Wilone O'Kielt,USA,50% Dark Bites,18-Apr-22,4501.0,131
Andria Kimpton,India,50% Dark Bites,31-Jan-22,13482.0,15
Madelene Upcott,USA,Baker's Choco Chips,22-Aug-22,5621.0,140
Jehu Rudeforth,Australia,99% Dark & Pure,25-Feb-22,10486.0,198
Jan Morforth,Australia,Mint Chip Choco,22-Feb-22,17626.0,103
Oby Sorrel,New Zealand,Milk Bars,12-Jan-22,4494.0,187
Brien Boise,UK,Almond Choco,25-May-22,105.0,125
Kelci Walkden,India,Smooth Sliky Salty,01-Feb-22,2464.0,8
Rafaelita Blaksland,UK,Eclairs,27-Apr-22,1379.0,70
Gigi Bohling,USA,Smooth Sliky Salty,22-Jul-22,2583.0,126
Curtice Advani,New Zealand,Mint Chip Choco,26-Jan-22,3220.0,265
Curtice Advani,USA,Mint Chip Choco,24-Aug-22,4802.0,296
Madelene Upcott,New Zealand,Fruit & Nut Bars,18-Jan-22,5677.0,21
Karlen McCaffrey,India,85% Dark Bars,30-Mar-22,945.0,83
Ches Bonnell,Australia,Caramel Stuffed Bars,17-Jan-22,8757.0,162
Kelci Walkden,USA,Fruit & Nut Bars,17-Feb-22,4816.0,145
Kelci Walkden,Canada,Peanut Butter Cubes,08-Apr-22,7532.0,44
Gigi Bohling,Canada,Drinking Coco,06-Jul-22,3549.0,82
Husein Augar,India,Fruit & Nut Bars,04-Apr-22,4340.0,226
Jan Morforth,New Zealand,Organic Choco Syrup,02-Mar-22,1799.0,207
Gigi Bohling,New Zealand,Raspberry Choco,09-Aug-22,1127.0,176
Dennison Crosswaite,Australia,Milk Bars,09-Jun-22,10038.0,286
Ches Bonnell,UK,Caramel Stuffed Bars,02-Jun-22,2926.0,300
Van Tuxwell,USA,Fruit & Nut Bars,05-Jul-22,6279.0,235
Andria Kimpton,Canada,Eclairs,11-Aug-22,308.0,125
Madelene Upcott,India,Choco Coated Almonds,11-Feb-22,3500.0,145
Kelci Walkden,New Zealand,Spicy Special Slims,11-Aug-22,658.0,65
Roddy Speechley,Australia,Drinking Coco,12-May-22,12565.0,102
Wilone O'Kielt,USA,Milk Bars,15-Jul-22,5012.0,93
Andria Kimpton,India,Organic Choco Syrup,18-Jan-22,3955.0,134
Madelene Upcott,UK,Fruit & Nut Bars,05-Jan-22,8512.0,189
Curtice Advani,Australia,50% Dark Bites,29-Jun-22,504.0,232
Brien Boise,Canada,Raspberry Choco,14-Jun-22,2800.0,45
Gunar Cockshoot,India,Mint Chip Choco,08-Aug-22,4256.0,67
Dennison Crosswaite,India,Mint Chip Choco,23-Mar-22,13573.0,138
Barr Faughny,India,Caramel Stuffed Bars,04-Jan-22,6566.0,99
Brien Boise,India,Milk Bars,22-Feb-22,13503.0,251
Beverie Moffet,UK,Spicy Special Slims,17-Feb-22,8680.0,252
Barr Faughny,USA,Almond Choco,03-Feb-22,385.0,78
Van Tuxwell,Canada,Raspberry Choco,17-Mar-22,1267.0,130
Wilone O'Kielt,Australia,Baker's Choco Chips,25-Jan-22,2961.0,154
Brien Boise,Australia,Milk Bars,27-Jul-22,1981.0,52
Husein Augar,Australia,Fruit & Nut Bars,28-Jan-22,7959.0,53
Madelene Upcott,Australia,Organic Choco Syrup,05-Jul-22,10794.0,50
Van Tuxwell,India,White Choc,15-Mar-22,1897.0,44
Gunar Cockshoot,Canada,After Nines,04-Aug-22,2744.0,200
Jan Morforth,USA,Fruit & Nut Bars,27-Jun-22,4382.0,361
Jan Morforth,Canada,After Nines,13-Jul-22,4515.0,172
Barr Faughny,New Zealand,Manuka Honey Choco,24-Feb-22,5474.0,239
Karlen McCaffrey,New Zealand,85% Dark Bars,28-Jun-22,6069.0,55
Oby Sorrel,Australia,85% Dark Bars,30-Jun-22,6944.0,27
Curtice Advani,Canada,Choco Coated Almonds,18-Aug-22,5859.0,7
Kaine Padly,India,70% Dark Bites,24-Jan-22,12173.0,301
Beverie Moffet,USA,White Choc,11-Mar-22,5292.0,134
Ches Bonnell,New Zealand,After Nines,23-Jun-22,5705.0,350
Husein Augar,India,Spicy Special Slims,22-Aug-22,2492.0,33
Gunar Cockshoot,Canada,50% Dark Bites,04-Jan-22,3024.0,23
Curtice Advani,India,Milk Bars,05-Apr-22,3437.0,201
Beverie Moffet,India,Milk Bars,15-Apr-22,1869.0,323
Husein Augar,Australia,White Choc,11-May-22,3171.0,220
Andria Kimpton,Canada,Manuka Honey Choco,21-Jul-22,4858.0,488
Jan Morforth,New Zealand,Orange Choco,11-Feb-22,1225.0,84
Andria Kimpton,Canada,Smooth Sliky Salty,08-Jul-22,1155.0,79
Gunar Cockshoot,UK,Raspberry Choco,11-Aug-22,6811.0,344
Husein Augar,New Zealand,After Nines,04-Aug-22,6433.0,7
Andria Kimpton,New Zealand,Orange Choco,14-Jun-22,8169.0,88
Dennison Crosswaite,UK,Baker's Choco Chips,17-Jan-22,2275.0,275
Jehu Rudeforth,Canada,Orange Choco,23-Jun-22,3857.0,512
Jehu Rudeforth,UK,Smooth Sliky Salty,24-Aug-22,1463.0,113
Andria Kimpton,UK,Caramel Stuffed Bars,07-Jun-22,7924.0,275
Jan Morforth,UK,White Choc,22-Jun-22,8799.0,47
Dotty Strutley,USA,Fruit & Nut Bars,13-Jul-22,2898.0,276
Kelci Walkden,UK,Choco Coated Almonds,24-May-22,9506.0,212
Gunar Cockshoot,New Zealand,After Nines,09-Aug-22,7175.0,145
Kaine Padly,Canada,85% Dark Bars,06-Apr-22,1729.0,31
Jan Morforth,New Zealand,Manuka Honey Choco,28-Jul-22,1589.0,271
Gunar Cockshoot,New Zealand,Raspberry Choco,24-Aug-22,630.0,52
Van Tuxwell,Australia,99% Dark & Pure,17-Jan-22,112.0,128
Curtice Advani,USA,Drinking Coco,07-Feb-22,5187.0,142
Brien Boise,Australia,Spicy Special Slims,09-May-22,6223.0,256
Mallorie Waber,New Zealand,85% Dark Bars,06-Jun-22,7714.0,106
Wilone O'Kielt,USA,Choco Coated Almonds,06-Jun-22,9457.0,6
Beverie Moffet,New Zealand,Organic Choco Syrup,24-May-22,6678.0,226
Gunar Cockshoot,UK,50% Dark Bites,13-Jan-22,2107.0,121
Marney O'Breen,USA,Raspberry Choco,23-May-22,6069.0,151
Jehu Rudeforth,UK,White Choc,29-Jun-22,1862.0,284
Jehu Rudeforth,New Zealand,85% Dark Bars,11-Mar-22,6972.0,89
Dotty Strutley,USA,85% Dark Bars,25-Apr-22,10220.0,508
Rafaelita Blaksland,Australia,Smooth Sliky Salty,30-May-22,3969.0,243
Curtice Advani,India,Manuka Honey Choco,23-May-22,1547.0,170
Mallorie Waber,USA,Peanut Butter Cubes,23-May-22,1162.0,18
Van Tuxwell,Canada,Peanut Butter Cubes,24-Jun-22,6342.0,282
Kelci Walkden,New Zealand,Smooth Sliky Salty,11-Mar-22,10633.0,277
Rafaelita Blaksland,USA,Smooth Sliky Salty,27-Jul-22,15057.0,212
Rafaelita Blaksland,USA,White Choc,16-Aug-22,4704.0,126
Roddy Speechley,Canada,Smooth Sliky Salty,07-Mar-22,9338.0,11
Curtice Advani,New Zealand,After Nines,05-Apr-22,7959.0,30
Camilla Castle,India,85% Dark Bars,04-May-22,9023.0,51
Ches Bonnell,USA,Choco Coated Almonds,04-Jan-22,14525.0,92
Marney O'Breen,Australia,Baker's Choco Chips,13-Jan-22,5810.0,101
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,11-Jul-22,6426.0,98
Kaine Padly,Australia,Mint Chip Choco,17-May-22,4403.0,159
Camilla Castle,New Zealand,Peanut Butter Cubes,21-Jul-22,1582.0,62
Curtice Advani,Canada,Organic Choco Syrup,22-Feb-22,791.0,22
Jan Morforth,India,99% Dark & Pure,23-May-22,9100.0,187
Rafaelita Blaksland,Canada,Drinking Coco,12-Jul-22,9884.0,200
Jan Morforth,UK,Orange Choco,15-Jun-22,3780.0,201
Barr Faughny,New Zealand,50% Dark Bites,23-Jun-22,4557.0,308
Curtice Advani,Australia,Eclairs,25-Mar-22,5796.0,55
Jan Morforth,India,Caramel Stuffed Bars,04-Jul-22,84.0,153
Andria Kimpton,UK,White Choc,12-May-22,9037.0,101
Camilla Castle,New Zealand,Raspberry Choco,04-Apr-22,4746.0,137
Madelene Upcott,Australia,Orange Choco,15-Apr-22,6713.0,398
Roddy Speechley,Canada,Eclairs,08-Mar-22,6237.0,88
Karlen McCaffrey,India,White Choc,17-Jan-22,7483.0,232
Wilone O'Kielt,India,Mint Chip Choco,22-Aug-22,1309.0,51
Andria Kimpton,UK,99% Dark & Pure,25-Jul-22,1155.0,66
Marney O'Breen,UK,50% Dark Bites,14-Jun-22,2989.0,124
Ches Bonnell,India,Choco Coated Almonds,05-Apr-22,9625.0,78
Madelene Upcott,UK,Raspberry Choco,26-Aug-22,7357.0,341
Wilone O'Kielt,Australia,50% Dark Bites,03-Aug-22,10031.0,114
Gigi Bohling,Canada,White Choc,11-Jul-22,6587.0,4
Wilone O'Kielt,New Zealand,Eclairs,11-Mar-22,3311.0,22
Brien Boise,UK,Peanut Butter Cubes,10-Jan-22,15330.0,30
Roddy Speechley,UK,Baker's Choco Chips,04-Apr-22,14028.0,351
Karlen McCaffrey,Australia,50% Dark Bites,17-Jan-22,6678.0,708
Marney O'Breen,New Zealand,Organic Choco Syrup,08-Jul-22,8624.0,50
Jan Morforth,UK,Organic Choco Syrup,12-Apr-22,1197.0,356
Rafaelita Blaksland,Canada,Fruit & Nut Bars,24-Aug-22,483.0,185
Ches Bonnell,UK,Choco Coated Almonds,07-Jun-22,1687.0,236
Gunar Cockshoot,Canada,Almond Choco,28-Jul-22,1309.0,30
Husein Augar,USA,99% Dark & Pure,21-Feb-22,9534.0,111
Dennison Crosswaite,Canada,Mint Chip Choco,08-Apr-22,1694.0,289
Brien Boise,UK,Manuka Honey Choco,28-Jun-22,70.0,103
Van Tuxwell,UK,Baker's Choco Chips,24-Mar-22,2443.0,20
Barr Faughny,Australia,Caramel Stuffed Bars,29-Jul-22,2933.0,55
Dennison Crosswaite,USA,Eclairs,25-May-22,2044.0,90
Gigi Bohling,Australia,Raspberry Choco,30-Mar-22,6524.0,303
Dennison Crosswaite,USA,Organic Choco Syrup,18-Jul-22,12656.0,126
Beverie Moffet,Canada,Orange Choco,10-May-22,8722.0,109
Mallorie Waber,Australia,Choco Coated Almonds,18-Mar-22,15750.0,92
Ches Bonnell,India,Caramel Stuffed Bars,15-Jun-22,6839.0,56
Van Tuxwell,Canada,50% Dark Bites,12-May-22,13685.0,58
Kelci Walkden,New Zealand,Baker's Choco Chips,23-Jun-22,2912.0,110
Beverie Moffet,India,Spicy Special Slims,21-Apr-22,3339.0,171
Gigi Bohling,Australia,Almond Choco,17-Aug-22,910.0,117
Rafaelita Blaksland,New Zealand,Eclairs,07-Feb-22,19481.0,51
Kelci Walkden,Canada,Smooth Sliky Salty,17-Mar-22,8099.0,118
Jan Morforth,India,Baker's Choco Chips,01-Aug-22,13727.0,79
Jehu Rudeforth,Australia,Milk Bars,18-Mar-22,8659.0,29
Gigi Bohling,Canada,Fruit & Nut Bars,14-Jun-22,5782.0,103
Beverie Moffet,UK,Eclairs,22-Apr-22,8463.0,155
Marney O'Breen,New Zealand,Eclairs,18-Jan-22,4914.0,31
Husein Augar,Australia,99% Dark & Pure,26-Aug-22,3087.0,128
